selection_scope,outer_fold,embedding,C,class_weight,mean_inner_average_precision,inner_average_precision_0,inner_average_precision_1,inner_average_precision_2,inner_rows,selection_rank
outer_fold,2,b,0.1,balanced,0.9536186530813803,0.9487999001423834,0.9699488714517255,0.9421071876500321,723,12
outer_fold,2,b,1.0,None,0.961335785788119,0.9564635448965257,0.972010579519603,0.955533232948228,723,4
outer_fold,2,b,1.0,balanced,0.9617330772669338,0.9567249776515065,0.9728226852246609,0.9556515689246339,723,3
outer_fold,2,b,10.0,None,0.9619648459781714,0.955201949644219,0.974164274481883,0.9565283138084124,723,2
outer_fold,2,b,10.0,balanced,0.9624565352204825,0.9557532959842642,0.9751933197310622,0.956422989946121,723,1
outer_fold,2,b,100.0,None,0.9558201533294248,0.950223678931452,0.9720011799042668,0.9452356011525553,723,10
outer_fold,2,b,100.0,balanced,0.9564274295535706,0.9498245492431583,0.9726292129910781,0.9468285264264754,723,9
outer_fold,2,c,0.01,None,0.9310399576075105,0.9259829023414798,0.9398918089099662,0.9272451615710855,723,28
outer_fold,2,c,0.01,balanced,0.9313396229351287,0.9263414495969746,0.9402007063235949,0.9274767128848165,723,27
outer_fold,2,c,0.1,None,0.9368744599478802,0.9306228605411946,0.9448772902050593,0.9351232290973867,723,26
outer_fold,2,c,0.1,balanced,0.9388760192179783,0.9335521734518967,0.9461977728718253,0.9368781113302127,723,23
outer_fold,2,c,1.0,None,0.9522104330713738,0.944152610656448,0.9539308970802091,0.9585477914774644,723,14
outer_fold,2,c,1.0,balanced,0.9537049710548834,0.9460599739784508,0.9554830619932337,0.9595718771929658,723,11
outer_fold,2,c,10.0,None,0.9599146965697484,0.9564194369419746,0.9576356480087247,0.9656890047585456,723,7
outer_fold,2,c,10.0,balanced,0.9606243169342695,0.9572885924273368,0.9580774022952272,0.9665069560802448,723,5
outer_fold,2,c,100.0,None,0.960057287949364,0.9575903654535475,0.956831099249459,0.9657503991450855,723,6
outer_fold,2,c,100.0,balanced,0.9595620539781625,0.957165720422563,0.956631757062083,0.9648886844498418,723,8
outer_fold,3,a,0.01,None,0.9359528254237341,0.9260587172196383,0.9397785557963216,0.9420212032552425,723,29
