threshold,accuracy,macro_f1,precision,relevant_recall,specificity,tp,tn,fp,fn,medical_fn,medical_n,medical_recall,referral_fraction,referrals,feasible_recall_first,selected_default_0_5,selected_balanced_macro_f1,selected_recall_first
0.9903209805488586,0.7364341085271318,0.7363173702653095,0.9877675840978594,0.5798922800718133,0.9884393063583815,323,342,4,234,114,334,0.6586826347305389,0.36212624584717606,327,False,False,False,False
0.9905688762664795,0.7353266888150609,0.7351967892379103,0.9877300613496932,0.578096947935368,0.9884393063583815,322,342,4,235,114,334,0.6586826347305389,0.3610188261351052,326,False,False,False,False
0.9913128018379211,0.7342192691029901,0.7340754483611627,0.9876923076923076,0.5763016157989228,0.9884393063583815,321,342,4,236,115,334,0.655688622754491,0.3599114064230343,325,False,False,False,False
0.9913211464881897,0.7331118493909191,0.7329533392643495,0.9876543209876543,0.5745062836624776,0.9884393063583815,320,342,4,237,116,334,0.6526946107784432,0.3588039867109635,324,False,False,False,False
0.9914841055870056,0.7320044296788483,0.7318304535637149,0.9876160990712074,0.5727109515260324,0.9884393063583815,319,342,4,238,117,334,0.6497005988023952,0.3576965669988926,323,False,False,False,False
0.9915026426315308,0.7308970099667774,0.7307067828622552,0.9875776397515528,0.5709156193895871,0.9884393063583815,318,342,4,239,118,334,0.6467065868263473,0.35658914728682173,322,False,False,False,False
0.991544246673584,0.7297895902547066,0.729582318749509,0.9875389408099688,0.5691202872531418,0.9884393063583815,317,342,4,240,118,334,0.6467065868263473,0.3554817275747508,321,False,False,False,False
0.9917940497398376,0.7286821705426356,0.7284570528013472,0.9875,0.5673249551166966,0.9884393063583815,316,342,4,241,119,334,0.6437125748502994,0.35437430786268,320,False,False,False,False
0.9919614195823669,0.7275747508305648,0.7273309765797613,0.987460815047022,0.5655296229802513,0.9884393063583815,315,342,4,242,119,334,0.6437125748502994,0.3532668881506091,319,False,False,False,False
0.9920088052749634,0.7264673311184939,0.7262040816326532,0.9874213836477987,0.5637342908438061,0.9884393063583815,314,342,4,243,119,334,0.6437125748502994,0.3521594684385382,318,False,False,False,False
0.992060661315918,0.7253599114064231,0.7250763594936211,0.9873817034700315,0.5619389587073609,0.9884393063583815,313,342,4,244,120,334,0.6407185628742516,0.35105204872646734,317,False,False,False,False
0.9921411275863647,0.7242524916943521,0.7239478016817493,0.9873417721518988,0.5601436265709157,0.9884393063583815,312,342,4,245,121,334,0.6377245508982036,0.34994462901439644,316,False,False,False,False
0.9924938678741455,0.7231450719822813,0.7228183997013928,0.9873015873015873,0.5583482944344704,0.9884393063583815,311,342,4,246,122,334,0.6347305389221557,0.3488372093023256,315,False,False,False,False
0.992512583732605,0.7220376522702104,0.7216881450419642,0.9872611464968153,0.5565529622980251,0.9884393063583815,310,342,4,247,123,334,0.6317365269461078,0.3477297895902547,314,False,False,False,False
0.9925203323364258,0.7231450719822813,0.7227748305334512,0.9904153354632588,0.5565529622980251,0.9913294797687862,310,343,3,247,123,334,0.6317365269461078,0.34662236987818384,313,False,False,False,False
0.9925491809844971,0.7220376522702104,0.7216430274128557,0.9903846153846154,0.5547576301615799,0.9913294797687862,309,343,3,248,124,334,0.6287425149700598,0.34551495016611294,312,False,False,False,False
0.9930707812309265,0.7209302325581395,0.7205103514684641,0.9903536977491961,0.5529622980251346,0.9913294797687862,308,343,3,249,125,334,0.625748502994012,0.3444075304540421,311,False,False,False,False
0.993123471736908,0.7198228128460686,0.7193767941305446,0.9903225806451613,0.5511669658886894,0.9913294797687862,307,343,3,250,126,334,0.6227544910179641,0.3433001107419712,310,False,False,False,False
0.9932467937469482,0.7187153931339978,0.7182423468134245,0.9902912621359223,0.5493716337522442,0.9913294797687862,306,343,3,251,127,334,0.6197604790419161,0.34219269102990035,309,False,False,False,False
0.9934119582176208,0.717607973421927,0.7171070009152727,0.9902597402597403,0.547576301615799,0.9913294797687862,305,343,3,252,127,334,0.6197604790419161,0.34108527131782945,308,False,False,False,False
0.9935494065284729,0.716500553709856,0.7159707478178816,0.990228013029316,0.5457809694793537,0.9913294797687862,304,343,3,253,128,334,0.6167664670658682,0.3399778516057586,307,False,False,False,False
0.9936906099319458,0.7153931339977851,0.7148335788864464,0.9901960784313726,0.5439856373429084,0.9913294797687862,303,343,3,254,129,334,0.6137724550898204,0.3388704318936877,306,False,False,False,False
0.9937043786048889,0.7142857142857143,0.713695485469346,0.9901639344262295,0.5421903052064632,0.9913294797687862,302,343,3,255,129,334,0.6137724550898204,0.3377630121816168,305,False,False,False,False
0.9937494993209839,0.7131782945736435,0.7125564588979223,0.9901315789473685,0.5403949730700179,0.9913294797687862,301,343,3,256,130,334,0.6107784431137725,0.33665559246954596,304,False,False,False,False
0.9937577247619629,0.7120708748615725,0.7114164904862579,0.9900990099009901,0.5385996409335727,0.9913294797687862,300,343,3,257,130,334,0.6107784431137725,0.33554817275747506,303,False,False,False,False
0.9938144683837891,0.7109634551495017,0.7102755715309543,0.9900662251655629,0.5368043087971275,0.9913294797687862,299,343,3,258,131,334,0.6077844311377245,0.3344407530454042,302,False,False,False,False
0.9942662119865417,0.7098560354374308,0.7091336933109085,0.9900332225913622,0.5350089766606823,0.9913294797687862,298,343,3,259,132,334,0.6047904191616766,0.3333333333333333,301,False,False,False,False
0.9942863583564758,0.70874861572536,0.7079908470870893,0.99,0.533213644524237,0.9913294797687862,297,343,3,260,133,334,0.6017964071856288,0.33222591362126247,300,False,False,False,False
0.9943118095397949,0.707641196013289,0.7068470241023118,0.9899665551839465,0.5314183123877917,0.9913294797687862,296,343,3,261,133,334,0.6017964071856288,0.33111849390919157,299,False,False,False,False
0.9946238994598389,0.70874861572536,0.7079233309351192,0.9932885906040269,0.5314183123877917,0.9942196531791907,296,344,2,261,133,334,0.6017964071856288,0.3300110741971207,298,False,False,False,False
0.9947482943534851,0.707641196013289,0.7067777930844469,0.9932659932659933,0.5296229802513465,0.9942196531791907,295,344,2,262,134,334,0.5988023952095808,0.3289036544850498,297,False,False,False,False
0.9948074221611023,0.7065337763012182,0.7056312576192415,0.9932432432432432,0.5278276481149012,0.9942196531791907,294,344,2,263,135,334,0.5958083832335329,0.327796234772979,296,False,False,False,False
0.9948510527610779,0.7054263565891473,0.7044837157114596,0.9932203389830508,0.526032315978456,0.9942196531791907,293,344,2,264,136,334,0.592814371257485,0.3266888150609081,295,False,False,False,False
0.9951044321060181,0.7043189368770764,0.7033351585138519,0.9931972789115646,0.5242369838420108,0.9942196531791907,292,344,2,265,136,334,0.592814371257485,0.32558139534883723,294,False,False,False,False
0.9952713847160339,0.7032115171650055,0.7021855771597342,0.9931740614334471,0.5224416517055656,0.9942196531791907,291,344,2,266,136,334,0.592814371257485,0.32447397563676633,293,False,False,False,False
0.9952840209007263,0.7021040974529347,0.7010349627627561,0.9931506849315068,0.5206463195691203,0.9942196531791907,290,344,2,267,136,334,0.592814371257485,0.3233665559246955,292,False,False,False,False
